P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
11 Com b,3.0,6165.8633,-476.742,476.742,326.03,1.29,0.231,,94.8,2452899.6,13.8,11 Com,185.17928,17.792868,4.74,93.37,-0.35,2.7,19.0,K0 III,,4742.0,2.31,0.13067063,1.3244178,0.99201,1.58799,1.2987592,101.01141,64.855456,166.19194,799.44963,722.98875,914.73942,Jovian,19.0,163.5468,10.132812,24.763411,12.834754,23.477907,13.586847,23.477907,12.390643,23.477907,34.529063,0.47646024,0.64240028,0,0,0,0.083813263,12.082709,6165.8633,1.29
11 UMi b,3.0,4684.7848,-794.57001,794.57001,516.21997,1.53,0.08,,,,12.2,11 UMi,229.27454,71.823898,5.016,125.72,-0.02,2.78,29.79,K4 III,,4213.0,1.93,0.16755064,1.534896,1.4076,1.6524,1.5312267,107.35118,91.741348,126.42617,819.07569,788.47184,854.2877,Jovian,29.79,250.49294,12.770059,31.984271,16.17528,30.323783,17.134143,30.323783,15.615215,30.323783,42.732816,0.19389083,0.64868332,0,0,0,0.082414476,12.229641,4684.7848,1.53
14 And b,3.0,1525.5744,,,185.84,0.83,0.0,,0.0,2452861.4,11.0,14 And,352.82257,39.236198,5.227,75.59,-0.24,2.2,11.0,G8 III,,4813.0,2.63,0.073485255,0.83,0.83,0.83,0.83000002,84.446427,84.446427,84.446427,772.30746,772.30746,772.30746,Jovian,11.0,58.175144,6.0252302,14.680087,7.6318669,13.918028,8.078404,13.918028,7.3677796,13.918028,20.593611,0.50275224,0.60001028,0,0,0,0.081917127,12.848516,1525.5744,0.83
14 Her b,3.0,1481.0785,-47.6742,47.6742,1773.4,2.93,0.37,,,,163.0,14 Her,242.6013,43.817646,6.61,17.94,0.41,0.9,0.93,K0 V,,5338.0,4.45,0.217991,3.1305585,1.8459,4.0141,2.9825498,0.078886561,0.039047429,0.18465135,131.38424,113.25125,167.00637,Jovian,0.93,0.62917118,0.61059549,1.4579131,0.77340372,1.3822336,0.81817864,1.3822336,0.74661526,1.3822336,2.1416484,0.91975583,0.44541547,0,0,0,0.14524062,12.865261,1481.0785,2.93
16 Cyg B b,3.0,565.73385,-25.42624,25.42624,798.5,1.66,0.68,,,,78.5,16 Cyg B,295.46655,50.517525,6.25,21.15,0.06,1.08,1.13,G2.5 V,,5750.0,4.36,0.042832433,2.043792,0.5312,2.7888,1.7748696,0.61897215,0.16079857,4.4320105,202.22783,161.33012,369.65374,Jovian,1.13,1.2505956,0.8406574,1.9820503,1.0647976,1.8791638,1.1259913,1.8791638,1.0278615,1.8791638,3.019411,1.9836585,0.47332457,1,1,0,0.36862709,13.421749,565.73385,1.66
18 Del b,3.0,3273.6284,,,993.3,2.6,0.08,,166.1,2451672.0,34.0,18 Del,314.60806,10.839286,5.506,76.38,-0.052,2.3,8.5,G6 III,,4979.0,2.82,0.26914123,2.60832,2.392,2.808,2.6020847,5.9039479,5.0454603,6.9530068,396.65045,381.83005,413.70243,Jovian,8.5,39.782769,4.9452691,11.966497,6.2639156,11.345312,6.6291433,11.345312,6.0471267,11.345312,17.029868,0.67864811,0.60896698,0,0,0,0.21617437,12.424038,3273.6284,2.6
1RXS J160929.1-210524 b,3.0,2542.624,-317.828,317.828,,330.0,,,,,2280.0,1RXS J160929.1-210524,242.37627,-21.083036,,145.0,,0.85,,K7 V,0.005,4060.0,,47.561283,330.0,330.0,330.0,330.00001,,,,,,,Jovian,,,,,,,,,,,,0.10042903,0.14012839,0,0,0,,12.56295,2542.624,330.0
24 Boo b,3.0,289.22348,-31.7828,41.31764,30.3506,0.19,0.042,,210.0,2450008.6,1.97,24 Boo,217.15755,49.844852,5.58,96.25,-0.77,0.99,10.64,G3 IV,6.92,4893.0,2.42,0.012081025,0.19016758,0.18202,0.19798,0.19004195,1611.9403,1483.3039,1754.828,1613.7579,1581.0749,1648.935,Jovian,10.64,58.139697,6.0021326,14.574833,7.6026009,13.818243,8.0466759,13.818243,7.3395091,13.818243,20.587336,0.4420258,0.49217655,0,0,0,0.065684936,13.823874,289.22348,0.19
24 Sex b,3.0,632.47773,-120.77464,82.635281,452.8,1.333,0.09,,9.2,2454762.0,18.5,24 Sex,155.86821,-0.902244,6.441,72.21,-0.03,1.54,4.9,K0 IV,2.7,5098.0,3.5,0.090191357,1.3383987,1.21303,1.45297,1.3343533,8.2108078,6.8828267,9.8749987,430.60546,412.65453,451.62624,Jovian,4.9,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0,0,0,0.17730446,13.35605,632.47773,1.333
24 Sex c,3.0,273.33208,-69.922161,111.2398,883.0,2.08,0.29,,220.5,2454930.0,28.8,24 Sex,155.86821,-0.902244,6.441,72.21,-0.03,1.54,4.9,K0 IV,2.7,5098.0,3.5,0.083016328,2.167464,1.4768,2.6832,2.1024946,3.5093722,2.0182457,6.662493,343.04216,303.66058,409.31164,Jovian,4.9,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0,0,0,0.2724776,13.858291,273.33208,2.08
2MASS J01225093-2439505 b,3.0,7786.7861,-794.57001,794.57001,,52.0,,,,,1440.0,2MASS J01225093-2439505,20.712243,-24.664049,14.24,36.0,,0.4,,M3.5 V,0.12,3530.0,,13.992264,52.0,52.0,52.0,52.000001,,,,,,,Jovian,,,,,,,,,,,,0.031426578,0.18511504,0,0,0,,11.959259,7786.7861,52.0
2MASS J02192210-3925225 b,3.0,4417.8092,-349.6108,349.6108,,156.0,,,,,3960.0,2MASS J02192210-3925225,34.842106,-39.422928,,39.4,,0.11,0.28,M6,0.035,3064.0,4.59,53.43772,156.0,156.0,156.0,156.0,2.5439616e-07,2.5439616e-07,2.5439616e-07,5.7216666,5.7216666,5.7216666,Jovian,0.28,0.006190985,0.064653815,0.17132776,0.081892193,0.16242892,0.086858303,0.16242892,0.079039709,0.16242892,0.2124436,0.0091773442,0.098031817,0,0,0,0.056530021,16.1424,4417.8092,156.0
2MASS J04414489+2301513 b,3.0,2383.71,-794.57001,794.57001,,15.0,,,,,107.0,2MASS J04414489+2301513,70.437073,23.030941,,140.0,,0.02,,M8.5,0.001,,,7.3838744,15.0,15.0,15.0,15.0,,,,,,,Jovian,,,,,,,,,,,,,0.030706817,0,0,0,,12.598676,2383.71,15.0
2MASS J12073346-3932539 b,3.0,1271.312,-317.828,317.828,,46.0,,,,,714.0,2MASS J12073346-3932539,181.88945,-39.548332,20.15,64.42,,0.02,,M8,0.008,,,18.363288,46.0,46.0,46.0,46.000001,,,,,,,Jovian,,,,,,,,,,,,,0.043425998,0,0,0,,12.952003,1271.312,46.0
2MASS J19383260+4603591 b,3.0,603.87321,-31.7828,31.7828,416.0,0.92,,,,,2.3,2MASS J19383260+4603591,294.63587,46.066418,12.264,400.77,,0.48,,,,,,0.099343902,0.92,0.92,0.92,0.92000002,,,,,,,Jovian,,,,,,,,,,,,,0.36121425,0,0,0,,13.383276,603.87321,0.92
2MASS J21402931+1625183 A b,3.0,6658.4967,-6658.4967,26630.808,7336.5,,0.26,46.2,223.0,,,2MASS J21402931+1625183 A,325.12216,16.421759,,25.0,,0.08,0.12,M8.5,,2300.0,,1.0287533,3.2908045,2.3555768,4.010847,3.2107268,3.690033e-05,2.2443485e-05,6.5068073e-05,19.598998,17.535473,22.881627,Jovian,0.12,0.00036104595,0.015701147,0.04246522,0.019887033,0.040258767,0.021100899,0.040258767,0.019192148,0.040258767,0.051303266,0.002221171,0.19878386,0,0,0,0.084157251,10.3132,6658.4967,3.1832119
2MASS J22362452+4751425 b,3.0,3972.85,-476.742,476.742,,230.0,,,,,3110.0,2MASS J22362452+4751425,339.1022,47.86182,12.51,74.0,,0.6,,K7 V,0.12,4045.0,,43.201288,230.0,230.0,230.0,230.00001,,,,,,,Jovian,,,,,,,,,,,,0.087145494,0.21190382,0,0,0,,12.318663,3972.85,230.0
30 Ari B b,3.0,4392.383,-572.09041,572.09041,335.10001,0.99,0.29,,,,22.1,30 Ari B,39.240585,24.648064,6.962,44.71,0.19,1.93,1.41,F6 V,,6331.0,4.43,0.092482534,1.0316295,0.7029,1.2771,1.0007066,3.050856,1.7545523,5.7920065,331.24213,293.21521,395.23206,Jovian,1.41,2.8616474,1.22761,2.8573528,1.5548965,2.709031,1.6434699,2.709031,1.5008232,2.709031,4.5674293,6.531395,0.57438563,0,0,0,0.30089651,12.26437,4392.383,0.99
4 UMa b,3.0,2256.5788,-508.5248,508.5248,269.3,0.87,0.432,,23.81,2452987.4,11.8,4 UMa,130.05341,64.327934,4.61,73.58,-0.25,1.23,18.11,K1 III,4.604,4415.0,1.8,0.060511038,0.95118144,0.49416,1.24584,0.8916605,163.55514,71.932282,457.20735,877.01545,741.9521,1178.0757,Jovian,18.11,111.64734,8.4740879,21.019604,10.733757,19.928398,11.367229,19.928398,10.362264,19.928398,28.529093,0.20903862,0.49436657,0,0,0,0.076992961,12.629095,2256.5788,0.87
42 Dra b,3.0,1233.1727,-270.1538,270.1538,479.1,1.19,0.38,,218.7,2452757.4,13.1,42 Dra,276.4964,65.563484,4.82,90.86,-0.46,0.98,22.03,K1.5 III,9.49,4200.0,1.71,0.079675195,1.275918,0.7378,1.6422,1.2125726,103.29647,50.172149,248.56358,789.07763,678.04823,1011.5894,Jovian,22.03,135.3053,9.3887017,23.530144,11.892261,22.308555,12.59743,22.308555,11.48048,22.308555,31.406618,0.13394243,0.51702463,0,0,0,0.07908401,12.969374,1233.1727,1.19
47 UMa b,3.0,804.10485,-19.06968,22.24796,1078.0,2.1,0.032,,334.0,2451917.0,152.0,47 UMa,164.86656,40.430256,5.05,13.8,0.0,1.03,1.23,G0 V,7.3,5892.0,4.27,0.18722838,2.1010752,2.0328,2.1672,2.1002691,0.37062414,0.34781783,0.39533068,198.7444,195.65136,202.01566,Jovian,1.23,1.6336154,0.95260292,2.2377652,1.2065859,2.121605,1.2757677,2.121605,1.1647064,2.121605,3.4509501,2.4920312,0.50318118,1,1,0,0.31106267,13.215704,804.10485,2.1
47 UMa c,3.0,171.62712,-23.201444,20.976648,2391.0,3.6,0.098,,295.0,2452441.0,261.0,47 UMa,164.86656,40.430256,5.05,13.8,0.0,1.03,1.23,G0 V,7.3,5892.0,4.27,0.17873536,3.6172872,3.2472,3.9528,3.6043355,0.12666026,0.10455388,0.15492865,151.71194,144.8705,159.83719,Jovian,1.23,1.6336154,0.95260292,2.2377652,1.2065859,2.121605,1.2757677,2.121605,1.1647064,2.121605,3.4509501,2.4920312,0.50318118,0,0,0,0.17714066,14.144978,171.62712,3.6
47 UMa d,3.0,521.23792,-152.55744,92.170121,14002.0,11.6,0.16,,110.0,2451736.0,840.0,47 UMa,164.86656,40.430256,5.05,13.8,0.0,1.03,1.23,G0 V,7.3,5892.0,4.27,0.77670377,11.74848,9.744,13.456,11.637436,0.01229887,0.0090223125,0.017205816,84.431345,78.518931,92.270681,Jovian,1.23,1.6336154,0.95260292,2.2377652,1.2065859,2.121605,1.2757677,2.121605,1.1647064,2.121605,3.4509501,2.4920312,0.50318118,0,0,0,0.079493064,13.470213,521.23792,11.6
51 Eri b,3.0,,,,11688.0,12.0,0.45,133.0,87.0,2455563.0,408.0,51 Eri,69.400551,-2.473548,5.23,29.4,-0.027,1.75,,F0 IV,0.02,,,,13.215,6.6,17.4,12.326111,,,,,,,,,,,,,,,,,,,,0.2245997,0,0,0,,0.0,0.0,12.0
51 Peg b,3.0,150.01482,-12.395292,12.395292,4.230785,0.0527,0.013,,58.0,2450001.5,3.41,51 Peg,344.36658,20.768833,5.5,15.47,0.2,1.12,1.2,G2.5 IV,4.0,5793.0,4.33,0.0026620631,0.052704453,0.0520149,0.0533851,0.05270112,523.21565,509.8297,537.04381,1218.432,1210.6015,1226.4429,Jovian,1.2,1.4529988,0.903798,2.1284757,1.1447717,2.0179884,1.2105146,2.0179884,1.1050544,2.0179884,3.2545908,2.1617961,0.46806645,0,0,0,0.065394653,14.228992,150.01482,0.0527
55 Cnc b,3.0,263.98794,-1.0488324,1.0488324,14.65152,0.115227,0.0034,90.0,98.0,,9.15,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,G8 V,10.2,5196.0,4.45,0.0076039848,0.11522767,0.11483523,0.11561877,0.11522717,43.462522,43.168228,43.759328,654.14301,653.03426,655.25836,Jovian,0.94,0.57705994,0.58921014,1.4139437,0.74631864,1.3405462,0.78964408,1.3405462,0.72047826,1.3405462,2.0510405,0.72330826,0.51051127,0,0,0,0.088599759,13.879517,263.98794,0.115227
55 Cnc c,3.0,54.47572,-1.748054,1.748054,44.4175,0.241376,0.02,90.0,51.0,,19.2,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,G8 V,10.2,5196.0,4.45,0.0092560542,0.24142428,0.23654848,0.24620352,0.24138808,9.9064859,9.5199005,10.312895,451.95192,447.51028,456.5518,Jovian,0.94,0.57705994,0.58921014,1.4139437,0.74631864,1.3405462,0.78964408,1.3405462,0.72047826,1.3405462,2.0510405,0.72330826,0.51051127,0,0,0,0.19669217,8.5133162,54.47572,0.241376
55 Cnc d,3.0,1232.537,-21.612304,21.612304,4825.0,5.503,0.019,90.0,44.0,,437.0,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,G8 V,10.2,5196.0,4.45,0.59745691,5.5039933,5.398443,5.607557,5.5032484,0.019059008,0.018351583,0.019800852,94.654352,93.769865,95.568744,Jovian,0.94,0.57705994,0.58921014,1.4139437,0.74631864,1.3405462,0.78964408,1.3405462,0.72047826,1.3405462,2.0510405,0.72330826,0.51051127,0,0,0,0.08875056,12.969667,1232.537,5.503
55 Cnc e,3.0,8.0791878,-0.31147144,0.31147144,0.736539,0.01544,,83.3,,,1.23,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,G8 V,10.2,5196.0,4.45,0.00031979715,0.01544,0.01544,0.01544,0.01544,2420.6184,2420.6184,2420.6184,1787.008,1787.008,1787.008,Superterran,0.94,0.57705994,0.58921014,1.4139437,0.74631864,1.3405462,0.78964408,1.3405462,0.72047826,1.3405462,2.0510405,0.72330826,0.51051127,0,0,0,0.2598972,1.9057,8.0791878,0.01544
55 Cnc f,3.0,44.813748,-3.813936,3.813936,262.0,0.788,0.305,90.0,166.0,,62.6,55 Cnc,133.14922,28.330818,5.96,12.59,0.31,0.91,0.94,G8 V,10.2,5196.0,4.45,0.020079498,0.82465185,0.54766,1.02834,0.79745557,0.97582251,0.54569185,1.9239726,248.65483,218.96857,300.05069,Neptunian,0.94,0.57705994,0.58921014,1.4139437,0.74631864,1.3405462,0.78964408,1.3405462,0.72047826,1.3405462,2.0510405,0.72330826,0.51051127,1,1,0,0.45748768,7.5885086,44.813748,0.788
6 Lyn b,3.0,638.83429,-24.472756,24.472756,934.3,2.11,0.073,,130.0,2455384.0,38.5,6 Lyn,97.696281,58.162632,5.86,54.74,,1.44,5.2,K0 III-IV,,4938.0,3.19,0.14921849,2.1156221,1.95597,2.26403,2.1114081,3.244106,2.8101877,3.7650894,341.57316,329.85931,354.88589,Jovian,5.2,14.404549,2.9814334,7.2263884,3.7764296,6.8512627,3.9968073,6.8512627,3.6457377,6.8512627,10.247398,0.54108483,0.5209611,0,0,0,0.28576359,13.350175,638.83429,2.11
61 Vir b,3.0,5.085248,-0.63565601,0.63565601,4.215,0.050201,0.12,,105.0,,5.9,61 Vir,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,G5 V,8.96,5577.0,4.34,0.00077572596,0.050562447,0.04417688,0.05622512,0.050291794,319.27036,252.68119,409.30176,1074.0012,1015.7531,1145.924,Superterran,0.96,0.79879197,0.67876384,1.6082744,0.85974319,1.5247902,0.90929943,1.5247902,0.82994025,1.5247902,2.4131294,1.4069863,0.50503188,0,0,0,0.25355145,2.1061683,5.085248,0.050201
61 Vir c,3.0,18.116196,-0.95348401,0.95348401,38.021,0.2175,0.14,,341.0,,25.6,61 Vir,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,G5 V,8.96,5577.0,4.34,0.0050163669,0.2196315,0.18705,0.24795,0.21803635,17.0535,12.992881,22.830649,515.80897,483.69464,556.89648,Neptunian,0.96,0.79879197,0.67876384,1.6082744,0.85974319,1.5247902,0.90929943,1.5247902,0.82994025,1.5247902,2.4131294,1.4069863,0.50503188,0,0,0,0.22814035,4.4511957,18.116196,0.2175
61 Vir d,3.0,22.883616,-2.542624,2.542624,123.01,0.476,0.35,,314.0,,56.0,61 Vir,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,G5 V,8.96,5577.0,4.34,0.0089695593,0.505155,0.3094,0.6426,0.4835999,3.7635373,1.9344266,8.3443608,346.34605,300.45745,433.00527,Neptunian,0.96,0.79879197,0.67876384,1.6082744,0.85974319,1.5247902,0.90929943,1.5247902,0.82994025,1.5247902,2.4131294,1.4069863,0.50503188,0,0,0,0.37195088,5.1078157,22.883616,0.476
7 CMa b,3.0,781.85689,-44.49592,44.49592,796.0,1.93,0.22,,77.0,2454093.0,97.4,7 CMa,99.17099,-19.255878,3.92,19.82,0.21,1.52,2.3,K1 III,,4792.0,3.25,0.12065121,1.976706,1.5054,2.3546,1.9418663,0.68781196,0.45079312,1.1028279,229.87309,208.75613,261.07894,Jovian,2.3,2.4992607,1.2499776,3.048219,1.5832865,2.8899824,1.6759652,2.8899824,1.5285003,2.8899824,4.2684436,0.42870561,0.53043519,1,1,0,0.37834721,13.232029,781.85689,1.93
70 Vir b,3.0,2357.0125,-18.116196,18.116196,116.688,0.481,0.3988,,359.83,2455291.7,26.9,70 Vir,202.10754,13.778788,4.97,17.91,,1.09,1.89,G4 V,,5495.0,3.95,0.037404833,0.51924947,0.2891772,0.6728228,0.49110247,13.753258,6.4458715,34.894337,475.14878,405.94325,619.20385,Jovian,1.89,2.9179849,1.3034579,3.0962409,1.6510035,2.9355172,1.7463081,2.9355172,1.5937885,2.9355172,4.6121699,1.2839292,0.47478096,0,0,0,0.14126541,12.604921,2357.0125,0.481
75 Cet b,3.0,953.48401,,,691.9,2.1,0.117,,165.0,2452213.0,25.3,75 Cet,38.039253,-1.034896,5.35,83.15,0.0,2.49,10.5,G3 III,,4846.0,2.63,0.13469037,2.1143734,1.8543,2.3457,2.1036099,12.438138,9.9004731,15.843126,477.2133,451.91723,508.28247,Jovian,10.5,54.475457,5.8221083,14.16542,7.3745787,13.43008,7.8057607,13.43008,7.1193885,13.43008,19.928023,0.55449989,0.62529398,0,0,0,0.14524422,13.116992,953.48401,2.1
8 UMi b,3.0,416.35468,-50.85248,50.85248,93.4,0.49,0.06,,,,3.0,8 UMi,224.20148,74.900925,6.83,163.32,-0.03,1.44,10.3,K0,,4847.0,2.57,0.030465581,0.490882,0.4606,0.5194,0.49022082,218.9002,194.4694,247.29043,979.29341,951.38813,1010.2916,Jovian,10.3,52.463248,5.7133167,13.900142,7.2367776,13.178573,7.6598936,13.178573,6.9863557,13.178573,19.55651,0.46277365,0.5209611,0,0,0,0.070820113,13.604033,416.35468,0.49
81 Cet b,3.0,1684.4884,,,952.7,2.5,0.206,,175.0,2452486.0,24.6,81 Cet,39.424168,-3.396175,5.65,101.53,-0.06,2.4,11.0,G5 III,,4785.0,2.35,0.17645392,2.553045,1.985,3.015,2.5134499,9.2926133,6.2521178,14.423836,441.22513,402.85773,496.49525,Jovian,11.0,56.833158,5.9624778,14.544572,7.5523845,13.789546,7.9945342,13.789546,7.2910514,13.789546,20.354698,0.49324069,0.61766768,0,0,0,0.16929368,12.792619,1684.4884,2.5
91 Aqr b,3.0,1017.0496,,,181.4,0.7,0.027,,177.3,2453472.1,15.9,91 Aqr,348.9729,-9.087737,4.25,44.08,-0.03,1.4,11.0,K0 III,3.56,4665.0,2.52,0.061244551,0.70025515,0.6811,0.7189,0.7000639,104.81969,99.344457,110.67737,815.07247,804.32362,826.34161,Jovian,11.0,51.342925,5.6950725,13.965288,7.2136859,13.240324,7.6370963,13.240324,6.9640769,13.240324,19.346574,0.33534899,0.49451088,0,0,0,0.078414548,13.079797,1017.0496,0.7
AB Pic b,3.0,4290.678,-158.914,158.914,,260.0,,,,,5190.0,AB Pic,94.803802,-58.05431,9.128,50.12,,,,K2 V,0.03,,,,260.0,260.0,260.0,260.00001,,,,,,,Jovian,,,,,,,,,,,,,,0,0,0,,12.277019,4290.678,260.0
BD+03 2562 b,3.0,2034.0992,-413.1764,413.1764,481.9,1.3,0.2,,218.0,2453726.0,0.497,BD+03 2562,177.5648,2.760142,9.58,2618.0,-0.71,1.14,32.35,,5.2,4095.0,1.89,0.12617529,1.326,1.04,1.56,1.3065871,159.23206,108.3437,243.77331,898.12947,821.9508,1006.68,Jovian,32.35,263.66522,13.141381,33.105528,16.645609,31.386782,17.634904,31.386782,16.069054,31.386782,43.841983,0.11761662,0.49188134,0,0,0,0.076881824,12.686905,2034.0992,1.3
BD+14 4559 b,3.0,330.54112,-149.37916,149.37916,268.94,0.78,0.29,,,,15.8,BD+14 4559,318.39996,14.689387,9.63,49.42,0.17,0.49,0.86,K2 V,,4864.0,4.26,0.048582661,0.812799,0.5538,1.0062,0.78843547,0.63701048,0.36634578,1.2093553,223.9117,198.20642,267.16735,Jovian,0.86,0.37090255,0.48002494,1.167039,0.60802385,1.106457,0.64356072,1.106457,0.58698346,1.106457,1.6443478,0.33265737,0.36370546,1,1,0,0.3690268,13.742892,330.54112,0.78
BD+15 2375 b,3.0,337.21551,-85.813561,85.813561,153.22,0.576,0.001,,55.0,2457680.5,0.744,BD+15 2375,176.48217,14.616381,10.31,774.0,-0.22,1.08,8.95,G5,7.41,4649.0,2.61,0.039048208,0.57600029,0.575424,0.576576,0.57600015,101.0481,100.84626,101.25045,807.74977,807.34629,808.15404,Jovian,8.95,33.525318,4.6048705,11.299979,5.8327782,10.713375,6.1752542,10.713375,5.6309508,10.713375,15.633284,0.29922028,0.5124708,0,0,0,0.075857,13.730809,337.21551,0.576
BD+15 2940 b,3.0,352.78908,,,137.48,0.539,0.26,,302.0,2453464.0,1.25,BD+15 2940,240.09557,15.54693,9.046,431.61,0.28,1.1,14.7,K0,7.1,4796.0,2.8,0.027309464,0.5572182,0.39886,0.67914,0.54365898,365.14163,222.08611,643.87127,1099.2378,983.50202,1283.3487,Jovian,14.7,102.43303,8.0009629,19.507962,10.134434,18.495281,10.72761,18.495281,9.7837533,18.495281,27.326485,0.38754905,0.5119554,0,0,0,0.068451851,13.703559,352.78908,0.539
BD+20 2457 b,3.0,17668.059,-24965.39,24965.39,379.63,1.05,0.15,,,,0.628,BD+20 2457,154.18691,19.891409,9.75,1670.85,-0.79,10.83,71.02,K2 II,,4259.0,1.77,0.10509456,1.0618125,0.8925,1.2075,1.0529753,1364.0917,1019.7795,1866.6552,1541.7216,1439.6982,1674.5994,Jovian,71.02,1486.8958,31.072681,77.651759,39.358419,73.620449,41.689213,73.620449,37.995806,73.620449,104.11278,0.33017176,1.0206902,0,0,0,0.077113291,11.535801,17668.059,1.05
BD+20 2457 c,3.0,3963.3152,,,621.99,2.01,0.18,,126.02,2453867.0,1.2,BD+20 2457,154.18691,19.891409,9.75,1670.85,-0.79,10.83,71.02,K2 II,,4259.0,1.77,0.11792481,2.042562,1.6482,2.3718,2.0182285,374.14548,264.31658,547.34446,1113.6017,1027.2497,1232.282,Jovian,71.02,1486.8958,31.072681,77.651759,39.358419,73.620449,41.689213,73.620449,37.995806,73.620449,104.11278,0.33017176,1.0206902,0,0,0,0.074902725,12.319965,3963.3152,2.01
BD+20 274 b,3.0,1334.8776,,,578.2,1.3,0.21,,108.5,2453921.0,0.939,BD+20 274,25.920324,21.005314,9.36,1383.85,-0.46,0.8,17.3,K5 III,,4296.0,1.99,0.12184456,1.328665,1.027,1.573,1.3072723,55.277069,36.913098,86.595845,688.84477,627.97164,777.17563,Jovian,17.3,91.335149,7.6929351,19.190589,9.7443076,18.194312,10.320893,18.194312,9.4069827,18.194312,25.803745,0.14762734,0.42826685,0,0,0,0.087983596,12.924229,1334.8776,1.3
BD+20 594 b,3.0,22.24796,-9.5348401,9.5348401,41.6855,,0.0,89.55,,,,BD+20 594,53.650967,20.599232,11.038,180.39,-0.15,1.67,1.08,G,,5766.0,4.5,0.0066178184,0.27908623,0.27908623,0.27908623,0.27908624,14.830572,14.830572,14.830572,499.95899,499.95899,499.95899,Neptunian,1.08,1.1551402,0.80716291,1.9022596,1.0223722,1.803515,1.0811121,1.803515,0.98690542,1.803515,2.9018912,2.357775,0.54733928,0,0,0,0.30796205,2.5783,22.24796,0.27908623
BD+48 738 b,3.0,289.22348,,,392.6,1.0,0.2,,358.9,2454457.7,1.12,BD+48 738,40.710224,49.58696,9.14,892.17,-0.2,0.74,11.0,K0 III,,4414.0,2.24,0.058507176,1.02,0.8,1.2,1.005067,42.001782,28.578593,64.301834,643.64774,589.05401,721.44088,Jovian,11.0,41.153174,5.1449909,12.762527,6.5169353,12.099976,6.9015525,12.099976,6.2913854,12.099976,17.3207,0.17616621,0.41728076,0,0,0,0.089639787,13.823874,289.22348,1.0
BD+48 740 b,3.0,540.3076,-222.4796,222.4796,733.0,1.7,0.76,,100.0,2454774.5,2.5,BD+48 740,40.742569,48.930061,8.699,678.94,-0.13,1.09,10.33,K3 III,,4534.0,2.48,0.03229859,2.19096,0.408,2.992,1.855702,21.51075,4.5132789,242.71411,471.51405,371.33677,1005.5847,Jovian,10.33,40.403162,5.0769916,12.523632,6.4307991,11.873496,6.809335,11.873496,6.2082637,11.873496,17.16214,0.24633249,0.47478096,0,0,0,0.11328601,13.448934,540.3076,1.7
BD+49 828 b,3.0,508.5248,-63.565601,127.1312,2590.0,4.2,0.35,,170.0,2455470.5,9.38,BD+49 828,45.640529,49.730011,9.38,447.59,-0.19,1.52,7.6,K0,2.34,4943.0,2.85,0.18957048,4.45725,2.73,5.67,4.267058,1.869632,0.96097514,4.1452715,290.77041,252.24522,363.52406,Jovian,7.6,30.894294,4.3652967,10.578441,5.5292983,10.029309,5.8519331,10.029309,5.3379432,10.029309,15.007312,0.55567772,0.47392397,0,0,0,0.35395377,13.484857,508.5248,4.2
