P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
HAT-P-16 b,3.0,1332.6528,-29.875832,29.875832,2.77596,0.0413,0.036,86.6,214.0,,0.176,HAT-P-16,9.573181,42.463078,10.812,235.0,0.17,1.22,1.24,F8,2.0,6158.0,4.34,0.0041013928,0.041326762,0.0398132,0.0427868,0.041306697,1162.1769,1082.1093,1249.7887,1487.1589,1461.2102,1514.7957,Jovian,1.24,1.9810286,1.0321391,2.4102123,1.3073184,2.2851008,1.3819723,2.2851008,1.2618895,2.2851008,3.8002236,4.1641694,0.42905844,0,0,0,0.063405877,14.44969,1332.6528,0.0413
HAT-P-17 b,3.0,184.34024,-19.06968,19.06968,10.33852,,0.35,89.2,,,,HAT-P-17,324.5364,30.488716,10.54,92.63,0.0,0.99,0.87,K,,5246.0,4.53,0.0034360047,0.09821502,0.060155254,0.12493783,0.094024159,64.017148,32.904277,141.9362,703.3723,610.18004,879.36303,Jovian,0.87,0.51361807,0.55442155,1.3280555,0.70225315,1.2591166,0.7429807,1.2591166,0.67793541,1.2591166,1.9350131,0.81063856,0.45979353,0,0,0,0.091504247,11.7705,184.34024,0.092546544
HAT-P-17 c,3.0,1080.6152,-222.4796,349.6108,5584.0,5.6,0.39,,181.5,2454885.0,60.5,HAT-P-17,324.5364,30.488716,10.54,92.63,0.0,0.99,0.87,K,,5246.0,4.53,0.35181555,6.02588,3.416,7.784,5.712201,0.017786558,0.0084768528,0.044015392,90.240865,77.304285,116.69334,Jovian,0.87,0.51361807,0.55442155,1.3280555,0.70225315,1.2591166,0.7429807,1.2591166,0.67793541,1.2591166,1.9350131,0.81063856,0.45979353,0,0,0,0.087093496,13.044953,1080.6152,5.6
HAT-P-18 b,3.0,62.612117,-4.131764,4.131764,5.508023,0.0559,0.084,88.8,120.0,,0.337,HAT-P-18,256.34647,33.012512,12.759,166.0,0.1,0.77,0.75,K2,12.4,4803.0,4.57,0.0022189544,0.056097215,0.0512044,0.0605956,0.05594942,86.13418,73.043124,102.29325,775.1085,744.80013,810.22688,Jovian,0.75,0.2682017,0.40928208,0.99761415,0.51841784,0.94582688,0.54875667,0.94582688,0.500479,0.94582688,1.3982812,0.34826955,0.49883704,0,0,0,0.09099285,11.15395,62.612117,0.0559
HAT-P-19 b,3.0,92.805777,-5.7209041,5.7209041,4.008778,0.0466,0.067,88.2,256.0,,0.217,HAT-P-19,9.516742,34.711575,12.901,215.0,0.23,0.84,0.82,K1,8.8,4990.0,4.54,0.0020868185,0.046704594,0.0434778,0.0497222,0.046626189,172.3946,151.08379,197.5984,922.37938,893.20136,955.19219,Jovian,0.82,0.37352402,0.47893362,1.1584076,0.60664023,1.0982743,0.64200334,1.0982743,0.58564457,1.0982743,1.6501485,0.49435139,0.4849888,0,0,0,0.076361023,12.68972,92.805777,0.0466
HAT-P-2 b,3.0,2739.6774,-54.03076,54.03076,5.6335158,0.06814,0.5172,,188.01,2463982.5,0.531,HAT-P-2,245.15149,41.048084,8.72,128.25,0.18,1.33,1.39,F8,1.44,6380.0,,0.0041870087,0.077253583,0.032897992,0.10338201,0.070648162,721.75808,268.35583,2650.0995,1247.3684,1031.152,1827.9338,Jovian,1.39,2.8681441,1.2254166,2.8498603,1.5521163,2.7019275,1.6404716,2.7019275,1.4981282,2.7019275,4.572611,6.2757241,0.41805729,0,0,0,0.072495013,12.521757,2739.6774,0.06814
HAT-P-20 b,3.0,2302.9817,-59.433837,59.433837,2.875317,0.0361,0.015,86.8,317.0,,0.516,HAT-P-20,111.91647,24.33663,11.339,70.0,0.35,0.76,0.69,K3,6.7,4595.0,4.63,0.0051470013,0.036104061,0.0355585,0.0366415,0.036101017,145.93631,141.63885,150.39799,885.45688,878.90212,892.18602,Jovian,0.69,0.19016426,0.34752946,0.85488264,0.44019986,0.8105037,0.46607686,0.8105037,0.42496759,0.8105037,1.1774113,0.24256637,0.44823782,0,0,0,0.095951003,9.71907,2302.9817,0.0361
HAT-P-21 b,3.0,1547.8224,-498.98996,498.98996,4.12448,,0.23,87.2,,,,HAT-P-21,171.27496,41.027954,11.685,279.48,0.01,1.24,1.21,G3,,5588.0,4.33,0.0044833777,0.055492469,0.041628137,0.066496894,0.054426373,449.67067,289.25592,738.0929,1161.3456,1050.6679,1327.9223,Jovian,1.21,1.2790425,0.85835323,2.0331261,1.0872163,1.9275881,1.1498722,1.9275881,1.0495265,1.9275881,3.0535586,1.5725161,0.49563088,0,0,0,0.073790623,12.4431,1547.8224,0.054062515
HAT-P-22 b,3.0,785.03517,-101.70496,101.70496,3.21222,,0.02,86.9,,,,HAT-P-22,155.68172,50.128345,9.732,81.96,0.24,1.13,1.11,G5,,5302.0,4.36,0.0038520099,0.04437715,0.04348091,0.045255641,0.044370496,443.23625,425.93963,461.41982,1168.8833,1157.3959,1180.7799,Jovian,1.11,0.87235549,0.72038639,1.7221985,0.91246988,1.6327999,0.965332,1.6327999,0.88086788,1.6327999,2.5217993,0.93273358,0.48051905,0,0,0,0.071614753,12.8915,785.03517,0.044368276
HAT-P-23 b,3.0,425.88952,-187.51852,187.51852,1.21288,,0.11,85.1,,,,HAT-P-23,306.12385,16.762152,12.432,368.61,0.15,0.58,0.96,G0,,5905.0,4.33,0.0014904897,0.018670258,0.016516604,0.020599361,0.018586164,2932.8693,2365.9374,3680.1811,1870.5861,1776.8294,1984.3223,Jovian,0.96,1.0039468,0.74618958,1.7523202,0.94513829,1.6613589,0.99931833,1.6613589,0.91233154,1.6613589,2.705323,2.1043433,0.3847339,0,0,0,0.072926318,12.2189,425.88952,0.018557982
