kepid,kepoi_name,planet_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,star_name,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
7207081,K05374.01,,239.25578975,133.1367334,,5.21,,,,,,,,,293.82782,42.771709,13.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7213311,K05375.01,,285.374561,311.29883,0.018,4.865,482.3,5.94,423.0,7.54,13.7,5142.0,3.47,2.756,295.51764,42.758942,13.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8255058,K05495.01,,6.279888981,135.296067,1.244,5.5086,1514.6,196.78,1931.0,3281.24,150.5,5057.0,3.137,6.222,298.43073,44.192451,13.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8265239,K05496.01,,37.47695717,150.6694873,,1.46,,,,,,,,,301.15225,44.185116,14.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279146,K05497.01,,93.359737,155.8348,0.0547,5.397,38.3,1.05,592.0,29.01,8.1,6809.0,4.078,1.673,282.24631,44.28228,10.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8288404,K05498.01,,519.80221867,462.625278,0.894,14.9678,77183.0,40.88,216.0,0.51,2502.9,5310.0,4.356,1.03,287.2117,44.283192,12.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8294683,K05499.01,,122.58481,178.4735,0.3468,22.37,318.9,1.19,279.0,1.43,7.6,5003.0,4.602,0.669,290.01547,44.205582,15.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8295087,K05500.01,,84.934357,157.8966,0.1612,3.169,129.7,1.6,531.0,18.83,5.9,6290.0,4.156,1.395,290.15518,44.254017,13.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8300828,K05501.01,,48.9200563,163.9628,0.6077,2.295,333.9,1.71,456.0,10.22,7.0,5375.0,4.433,0.899,292.22482,44.29277,14.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8307489,K05502.01,,421.98194,226.9386,0.1494,13.799,173.1,2.02,334.0,2.96,15.0,6760.0,4.193,1.515,294.61761,44.216881,12.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
