koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,P_STATUS,P_MASS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,labels
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6165.8633,326.03,1.29,0.231,0.0,94.8,2452899.6,13.8,185.17928,17.792868,4.74,93.37,-0.35,2.7,19.0,K0 III,0.0,4742.0,2.31,0.13067063,1.3244178,0.99201,1.58799,1.2987592,101.01141,64.855456,166.19194,799.44963,722.98875,914.73942,Jovian,19.0,163.5468,10.132812,24.763411,12.834754,23.477907,13.586847,23.477907,12.390643,23.477907,34.529063,0.47646024,0.64240028,0,0,0,0.083813263,12.082709,6165.8633,1.29,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4684.7848,516.21997,1.53,0.08,0.0,0.0,0.0,12.2,229.27454,71.823898,5.016,125.72,-0.02,2.78,29.79,K4 III,0.0,4213.0,1.93,0.16755064,1.534896,1.4076,1.6524,1.5312267,107.35118,91.741348,126.42617,819.07569,788.47184,854.2877,Jovian,29.79,250.49294,12.770059,31.984271,16.17528,30.323783,17.134143,30.323783,15.615215,30.323783,42.732816,0.19389083,0.64868332,0,0,0,0.082414476,12.229641,4684.7848,1.53,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1525.5744,185.84,0.83,0.0,0.0,0.0,2452861.4,11.0,352.82257,39.236198,5.227,75.59,-0.24,2.2,11.0,G8 III,0.0,4813.0,2.63,0.073485255,0.83,0.83,0.83,0.83000002,84.446427,84.446427,84.446427,772.30746,772.30746,772.30746,Jovian,11.0,58.175144,6.0252302,14.680087,7.6318669,13.918028,8.078404,13.918028,7.3677796,13.918028,20.593611,0.50275224,0.60001028,0,0,0,0.081917127,12.848516,1525.5744,0.83,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1481.0785,1773.4,2.93,0.37,0.0,0.0,0.0,163.0,242.6013,43.817646,6.61,17.94,0.41,0.9,0.93,K0 V,0.0,5338.0,4.45,0.217991,3.1305585,1.8459,4.0141,2.9825498,0.078886561,0.039047429,0.18465135,131.38424,113.25125,167.00637,Jovian,0.93,0.62917118,0.61059549,1.4579131,0.77340372,1.3822336,0.81817864,1.3822336,0.74661526,1.3822336,2.1416484,0.91975583,0.44541547,0,0,0,0.14524062,12.865261,1481.0785,2.93,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,565.73385,798.5,1.66,0.68,0.0,0.0,0.0,78.5,295.46655,50.517525,6.25,21.15,0.06,1.08,1.13,G2.5 V,0.0,5750.0,4.36,0.042832433,2.043792,0.5312,2.7888,1.7748696,0.61897215,0.16079857,4.4320105,202.22783,161.33012,369.65374,Jovian,1.13,1.2505956,0.8406574,1.9820503,1.0647976,1.8791638,1.1259913,1.8791638,1.0278615,1.8791638,3.019411,1.9836585,0.47332457,1,1,0,0.36862709,13.421749,565.73385,1.66,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3273.6284,993.3,2.6,0.08,0.0,166.1,2451672.0,34.0,314.60806,10.839286,5.506,76.38,-0.052,2.3,8.5,G6 III,0.0,4979.0,2.82,0.26914123,2.60832,2.392,2.808,2.6020847,5.9039479,5.0454603,6.9530068,396.65045,381.83005,413.70243,Jovian,8.5,39.782769,4.9452691,11.966497,6.2639156,11.345312,6.6291433,11.345312,6.0471267,11.345312,17.029868,0.67864811,0.60896698,0,0,0,0.21617437,12.424038,3273.6284,2.6,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2542.624,0.0,330.0,0.0,0.0,0.0,0.0,2280.0,242.37627,-21.083036,0.0,145.0,0.0,0.85,0.0,K7 V,0.005,4060.0,0.0,47.561283,330.0,330.0,330.0,330.00001,0.0,0.0,0.0,0.0,0.0,0.0,Jovian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10042903,0.14012839,0,0,0,0.0,12.56295,2542.624,330.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,289.22348,30.3506,0.19,0.042,0.0,210.0,2450008.6,1.97,217.15755,49.844852,5.58,96.25,-0.77,0.99,10.64,G3 IV,6.92,4893.0,2.42,0.012081025,0.19016758,0.18202,0.19798,0.19004195,1611.9403,1483.3039,1754.828,1613.7579,1581.0749,1648.935,Jovian,10.64,58.139697,6.0021326,14.574833,7.6026009,13.818243,8.0466759,13.818243,7.3395091,13.818243,20.587336,0.4420258,0.49217655,0,0,0,0.065684936,13.823874,289.22348,0.19,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,632.47773,452.8,1.333,0.09,0.0,9.2,2454762.0,18.5,155.86821,-0.902244,6.441,72.21,-0.03,1.54,4.9,K0 IV,2.7,5098.0,3.5,0.090191357,1.3383987,1.21303,1.45297,1.3343533,8.2108078,6.8828267,9.8749987,430.60546,412.65453,451.62624,Jovian,4.9,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0,0,0,0.17730446,13.35605,632.47773,1.333,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,273.33208,883.0,2.08,0.29,0.0,220.5,2454930.0,28.8,155.86821,-0.902244,6.441,72.21,-0.03,1.54,4.9,K0 IV,2.7,5098.0,3.5,0.083016328,2.167464,1.4768,2.6832,2.1024946,3.5093722,2.0182457,6.662493,343.04216,303.66058,409.31164,Jovian,4.9,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0,0,0,0.2724776,13.858291,273.33208,2.08,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7786.7861,0.0,52.0,0.0,0.0,0.0,0.0,1440.0,20.712243,-24.664049,14.24,36.0,0.0,0.4,0.0,M3.5 V,0.12,3530.0,0.0,13.992264,52.0,52.0,52.0,52.000001,0.0,0.0,0.0,0.0,0.0,0.0,Jovian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031426578,0.18511504,0,0,0,0.0,11.959259,7786.7861,52.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4417.8092,0.0,156.0,0.0,0.0,0.0,0.0,3960.0,34.842106,-39.422928,0.0,39.4,0.0,0.11,0.28,M6,0.035,3064.0,4.59,53.43772,156.0,156.0,156.0,156.0,2.5439616e-07,2.5439616e-07,2.5439616e-07,5.7216666,5.7216666,5.7216666,Jovian,0.28,0.006190985,0.064653815,0.17132776,0.081892193,0.16242892,0.086858303,0.16242892,0.079039709,0.16242892,0.2124436,0.0091773442,0.098031817,0,0,0,0.056530021,16.1424,4417.8092,156.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2383.71,0.0,15.0,0.0,0.0,0.0,0.0,107.0,70.437073,23.030941,0.0,140.0,0.0,0.02,0.0,M8.5,0.001,0.0,0.0,7.3838744,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Jovian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030706817,0,0,0,0.0,12.598676,2383.71,15.0,0
